productName,productPrice,productQuantity,productDescription,productCategory,productBatchNumber
Aspirin 81mg,4.25,1200,Low-dose aspirin for cardiovascular health.,Cardiovascular,ASPI-20250608-C01
Allergy Relief Tablets,22.00,300,Non-drowsy relief for seasonal allergies.,Antihistamines,ALLER-20250608-C02
Hydrogen Peroxide 3%,18.50,250,Antiseptic for minor cuts and scrapes.,First Aid,HPER-20250608-C03
Gauze Pads Sterile,15.00,500,Sterile pads for wound dressing.,First Aid,GAUZE-20250608-C04
Sunscreen SPF 50,75.00,150,Broad-spectrum sun protection.,Skincare,SUN-20250608-C05
Calcium Tablets,35.00,400,Bone health supplement.,Minerals,CALC-20250608-C06
Throat Lozenges,12.00,600,Soothing relief for sore throats.,Cough & Cold,LOZENGE-20250608-C07
Antiseptic Cream,28.00,200,Topical cream for minor skin infections.,First Aid,ANTI-CREAM-20250608-C08
Thermometer (Digital),120.00,100,Fast and accurate temperature measurement.,Medical Devices,THERM-20250608-C09
Kids Pain & Fever Syrup,60.00,180,Grape-flavored pain and fever reducer for children.,Pediatric,KIDS-PFS-20250608-C10
